what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1465887899220
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1465887899220
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1465887899220
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1465887899220
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1465887899235
started,bundle,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.adt",1465887899235
started,bundle,com.android.ide.eclipse.base,23.0.7.2120684,"com.android.ide.eclipse.base",1465887899235
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1465887899235
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1465887899235
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1465887899235
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1465887899235
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1465887899235
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1465887899235
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1465887899235
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1465887899235
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1465887899235
os,sysinfo,,,"win32",1465887899235
arch,sysinfo,,,"x86_64",1465887899235
ws,sysinfo,,,"win32",1465887899235
locale,sysinfo,,,"en_US",1465887899235
processors,sysinfo,,,"4",1465887899235
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1465887899235
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1465887899235
java.specification.name,sysinfo,,,"Java Platform API Specification",1465887899235
java.specification.vendor,sysinfo,,,"Oracle Corporation",1465887899235
java.specification.version,sysinfo,,,"1.7",1465887899235
java.vendor,sysinfo,,,"Oracle Corporation",1465887899235
java.version,sysinfo,,,"1.7.0_79",1465887899235
java.vm.info,sysinfo,,,"mixed mode",1465887899235
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1465887899235
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1465887899235
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1465887899235
java.vm.specification.version,sysinfo,,,"1.7",1465887899235
java.vm.vendor,sysinfo,,,"Oracle Corporation",1465887899235
java.vm.version,sysinfo,,,"24.79-b02",1465887899235
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1465887900265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465887901138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465888047464
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465888058988
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1465888059218
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1465888059218
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1465888059311
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1465888059311
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1465888059311
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1465888059327
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1465888059327
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1465888059327
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1465888059327
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1465888059327
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1465888059327
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1465888059327
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1465888059327
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1465888059327
